YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
2024,0,51287,Ryo Hisatsune,39.93%,115,288
2024,0,45609,Tyler Duncan,39.90%,79,198
2024,0,33948,Byeong Hun An,39.87%,122,306
2024,0,32102,Rickie Fowler,39.87%,122,306
2024,0,33141,Keegan Bradley,39.81%,129,324
2024,0,34466,Peter Malnati,39.81%,86,216
2024,0,37275,Sam Ryder,39.81%,86,216
2024,0,47483,Will Zalatoris,39.74%,93,234
2024,0,34046,Jordan Spieth,39.68%,100,252
2024,0,33204,Shane Lowry,39.54%,121,306
2024,0,57900,Chandler Phillips,39.54%,121,306
2024,0,32839,Hideki Matsuyama,39.51%,128,324
2024,0,27644,Brian Harman,39.42%,149,378
2024,0,59143,Mac Meissner,39.29%,99,252
2024,0,27064,Jhonattan Vegas,39.26%,106,270
2024,0,54783,Dylan Wu,39.26%,106,270
2024,0,27349,Alex Noren,39.24%,113,288
2024,0,34256,Andrew Putnam,39.24%,113,288
2024,0,52513,Carson Young,39.24%,113,288
2024,0,51696,Rico Hoey,39.22%,120,306
2024,0,25493,Nick Taylor,39.22%,120,306
2024,0,49947,Taylor Moore,39.14%,155,396
2024,0,36699,Patrick Rodgers,39.14%,155,396
2024,0,33399,Adam Hadwin,38.89%,112,288
2024,0,29420,Billy Horschel,38.89%,119,306
2024,0,23108,Matt Kuchar,38.89%,91,234
2024,0,52215,Robert MacIntyre,38.89%,91,234
2024,0,46340,Alex Smalley,38.89%,77,198
2024,0,40006,Erik van Rooyen,38.89%,119,306
2024,0,57366,Cameron Young,38.61%,139,360
2024,0,47420,Jake Knapp,38.56%,118,306
2024,0,31323,Gary Woodland,38.52%,104,270
2024,0,40026,Daniel Berger,38.49%,97,252
2024,0,39997,Corey Conners,38.38%,152,396
2024,0,55893,Sam Stevens,38.13%,151,396
2024,0,54628,Lee Hodges,37.96%,123,324
2024,0,32367,Jorge Campillo,37.78%,68,180
2024,0,33448,Justin Thomas,37.78%,102,270
2024,0,38991,Alejandro Tosti,37.78%,68,180
2024,0,40115,Adam Svensson,37.68%,156,414
2024,0,32791,K.H. Lee,37.61%,88,234
2024,0,34255,Joseph Bramlett,37.50%,108,288
2024,0,34587,Chan Kim,37.50%,108,288
2024,0,36884,Ben Kohles,37.50%,108,288
2024,0,28775,Nate Lashley,37.50%,81,216
2024,0,39546,Keith Mitchell,37.50%,108,288
2024,0,59836,Pierceson Coody,37.41%,101,270
2024,0,27139,David Skinns,37.41%,101,270
2024,0,54421,Garrick Higgo,37.30%,94,252
2024,0,46441,Robby Shelton,37.30%,94,252
2024,0,48887,Matt Wallace,37.18%,87,234
2024,0,51349,Nico Echavarria,37.15%,107,288
2024,0,29725,Tony Finau,37.13%,127,342
2024,0,35506,Mackenzie Hughes,37.12%,147,396
2024,0,52453,Nicolai Højgaard,37.04%,80,216
2024,0,46113,Ryan McCormick,37.04%,60,162
2024,0,47995,Davis Riley,36.75%,86,234
2024,0,29908,C.T. Pan,36.67%,66,180
2024,0,47679,Victor Perez,36.67%,99,270
2024,0,46414,Aaron Rai,36.67%,132,360
2024,0,29936,Ryan Fox,36.46%,105,288
2024,0,26476,Chez Reavie,36.42%,59,162
2024,0,27936,Martin Laird,36.32%,85,234
2024,0,33408,Tyson Alexander,36.11%,78,216
2024,0,39975,Michael Kim,36.11%,91,252
2024,0,26596,Ryan Moore,36.11%,78,216
2024,0,23320,Ryan Palmer,36.11%,39,108
2024,0,32070,Rafael Campos,35.71%,45,126
2024,0,48867,Matti Schmid,35.71%,90,252
2024,0,50497,Adrien Dumont de Chassart,35.65%,77,216
2024,0,54576,Patrick Fishburn,35.65%,77,216
2024,0,34021,Bud Cauley,35.56%,64,180
2024,0,32366,Kevin Chappell,35.35%,70,198
2024,0,40058,Zac Blair,35.19%,95,270
2024,0,59095,Chris Gotterup,35.19%,76,216
2024,0,60067,Joe Highsmith,34.72%,75,216
2024,0,27214,Kevin Streelman,34.72%,75,216
2024,0,36801,Mark Hubbard,34.54%,143,414
2024,0,28420,Ryan Brehm,34.44%,31,90
2024,0,34563,Chesson Hadley,34.44%,62,180
2024,0,34076,Joel Dahmen,34.26%,111,324
2024,0,47663,Kevin Dougherty,34.03%,49,144
2024,0,52375,Doug Ghim,33.33%,114,342
2024,0,35310,Lanto Griffin,33.33%,96,288
2024,0,51070,Vincent Norrman,33.33%,42,126
2024,0,33968,Thorbjørn Olesen,33.33%,54,162
2024,0,50095,Austin Smotherman,33.33%,72,216
2024,0,45242,Kevin Yu,33.33%,78,234
2024,0,47988,Nick Hardy,32.35%,99,306
2024,0,27770,Camilo Villegas,31.11%,28,90
2024,0,50493,Justin Suh,30.81%,61,198
2023,0,34466,Peter Malnati,49.26%,133,270
2023,0,25493,Nick Taylor,48.83%,167,342
2023,0,55789,Taylor Montgomery,47.35%,179,378
2023,0,35617,Martin Trainer,47.22%,85,180
2023,0,46970,Jon Rahm,46.73%,143,306
2023,0,33597,Harry Higgs,46.58%,109,234
2023,0,46442,Maverick McNealy,45.83%,99,216
2023,0,32139,Danny Willett,45.73%,107,234
2023,0,36699,Patrick Rodgers,45.56%,164,360
2023,0,27644,Brian Harman,45.00%,162,360
2023,0,50188,S.H. Kim,44.44%,176,396
2023,0,48117,Kurt Kitayama,44.44%,104,234
2023,0,51491,Brandon Matthews,44.44%,56,126
2023,0,48081,Xander Schauffele,44.44%,160,360
2023,0,35449,Adam Long,44.17%,159,360
2023,0,28089,Jason Day,44.12%,135,306
2023,0,30911,Tommy Fleetwood,44.12%,135,306
2023,0,22405,Justin Rose,44.05%,111,252
2023,0,29420,Billy Horschel,43.94%,87,198
2023,0,54591,Ben Griffin,43.78%,197,450
2023,0,22371,Aaron Baddeley,43.75%,126,288
2023,0,34363,Tyrrell Hatton,43.57%,149,342
2023,0,49298,Kramer Hickok,43.46%,133,306
2023,0,36801,Mark Hubbard,43.43%,172,396
2023,0,47993,Denny McCarthy,43.18%,171,396
2023,0,40098,Matt Fitzpatrick,43.06%,124,288
2023,0,23108,Matt Kuchar,43.06%,155,360
2023,0,47591,Eric Cole,43.00%,209,486
2023,0,35450,Patrick Cantlay,42.81%,131,306
2023,0,26596,Ryan Moore,42.74%,100,234
2023,0,35506,Mackenzie Hughes,42.71%,123,288
2023,0,32839,Hideki Matsuyama,42.69%,146,342
2023,0,46435,Austin Cook,42.59%,92,216
2023,0,25818,Scott Piercy,42.59%,138,324
2023,0,27095,Nick Watney,42.59%,69,162
2023,0,39971,Sungjae Im,42.51%,176,414
2023,0,34409,David Lingmerth,42.46%,107,252
2023,0,51766,Wyndham Clark,42.36%,183,432
2023,0,51634,Sahith Theegala,42.36%,183,432
2023,0,32816,Satoshi Kodaira,42.31%,99,234
2023,0,33653,Thomas Detry,42.17%,167,396
2023,0,25632,Jimmy Walker,42.06%,106,252
2023,0,30927,Brendon Todd,42.03%,174,414
2023,0,30926,Chris Kirk,41.98%,136,324
2023,0,55182,Tom Kim,41.94%,151,360
2023,0,37455,Si Woo Kim,41.92%,166,396
2023,0,29725,Tony Finau,41.81%,143,342
2023,0,49947,Taylor Moore,41.80%,158,378
2023,0,40115,Adam Svensson,41.77%,203,486
2023,0,29535,Brice Garnett,41.67%,135,324
2023,0,32757,Patton Kizzire,41.67%,135,324
2023,0,49766,Hank Lebioda,41.67%,60,144
2023,0,27349,Alex Noren,41.67%,135,324
2023,0,39335,Kevin Roy,41.67%,75,180
2023,0,33948,Byeong Hun An,41.55%,172,414
2023,0,37275,Sam Ryder,41.41%,164,396
2023,0,39546,Keith Mitchell,41.39%,149,360
2023,0,35532,Tom Hoge,41.27%,156,378
2023,0,39058,Lucas Herbert,41.20%,89,216
2023,0,31202,William McGirt,41.11%,74,180
2023,0,34256,Andrew Putnam,41.11%,185,450
2023,0,47128,Richy Werenski,41.11%,111,270
2023,0,48084,Wesley Bryan,40.97%,59,144
2023,0,29970,Dylan Frittelli,40.97%,59,144
2023,0,54421,Garrick Higgo,40.94%,140,342
2023,0,45522,Christiaan Bezuidenhout,40.74%,132,324
2023,0,27963,Chris Stroud,40.74%,66,162
2023,0,55454,Carl Yuan,40.74%,110,270
2023,0,35901,Paul Haley II,40.60%,95,234
2023,0,40162,Justin Lower,40.56%,146,360
2023,0,49771,J.T. Poston,40.56%,146,360
2023,0,48119,Ben Taylor,40.56%,146,360
2023,0,33204,Shane Lowry,40.48%,102,252
2023,0,37338,Zecheng Dou,40.43%,131,324
2023,0,32102,Rickie Fowler,40.34%,167,414
2023,0,39977,Max Homa,40.28%,145,360
2023,0,55893,Sam Stevens,40.28%,145,360
2023,0,47504,Sam Burns,40.20%,123,306
2023,0,28252,Seamus Power,40.20%,123,306
2023,0,27214,Kevin Streelman,40.20%,123,306
2023,0,47079,Harrison Endycott,40.08%,101,252
2023,0,49960,Sepp Straka,40.06%,137,342
2023,0,33408,Tyson Alexander,40.00%,108,270
2023,0,51997,Andrew Novak,40.00%,144,360
2023,0,29221,Webb Simpson,40.00%,72,180
2023,0,31560,Brian Stuard,40.00%,72,180
2023,0,33448,Justin Thomas,40.00%,108,270
2023,0,57366,Cameron Young,40.00%,144,360
2023,0,46717,Viktor Hovland,39.90%,158,396
2023,0,34098,Russell Henley,39.81%,129,324
2023,0,33410,Andrew Landry,39.74%,93,234
2023,0,58168,Davis Thompson,39.72%,143,360
2023,0,24140,Sean O'Hair,39.68%,50,126
2023,0,33141,Keegan Bradley,39.51%,128,324
2023,0,57975,Harry Hall,39.47%,135,342
2023,0,33413,Ben Martin,39.47%,135,342
2023,0,32366,Kevin Chappell,39.44%,71,180
2023,0,51349,Nico Echavarria,39.44%,71,180
2023,0,35310,Lanto Griffin,39.44%,71,180
2023,0,34099,Harris English,39.42%,149,378
2023,0,25900,Lucas Glover,39.42%,149,378
2023,0,51890,Greyson Sigg,39.42%,149,378
2023,0,54783,Dylan Wu,39.42%,149,378
2023,0,24024,Zach Johnson,39.32%,92,234
2023,0,30692,Scott Stallings,39.26%,106,270
2023,0,30163,Henrik Norlander,39.24%,113,288
2023,0,33399,Adam Hadwin,39.20%,127,324
2023,0,54628,Lee Hodges,39.15%,148,378
2023,0,31646,Emiliano Grillo,38.89%,168,432
2023,0,35461,Beau Hossler,38.89%,161,414
2023,0,27936,Martin Laird,38.89%,98,252
2023,0,34046,Jordan Spieth,38.89%,105,270
2023,0,50493,Justin Suh,38.89%,182,468
2023,0,52374,Brandon Wu,38.66%,167,432
2023,0,46340,Alex Smalley,38.65%,160,414
2023,0,46414,Aaron Rai,38.64%,153,396
2023,0,26476,Chez Reavie,38.58%,125,324
2023,0,34610,Matthias Schwab,38.56%,118,306
2023,0,35879,Kelly Kraft,38.54%,111,288
2023,0,48699,Callum Tarren,38.54%,111,288
2023,0,28237,Rory McIlroy,38.52%,104,270
2023,0,32333,Kevin Tway,38.52%,104,270
2023,0,12716,Charley Hoffman,38.43%,83,216
2023,0,40250,Taylor Pendrith,38.33%,138,360
2023,0,34076,Joel Dahmen,38.24%,117,306
2023,0,36799,Stephan Jaeger,38.12%,199,522
2023,0,40058,Zac Blair,38.03%,89,234
2023,0,45157,Cam Davis,37.96%,123,324
2023,0,27554,Scott Harrington,37.96%,82,216
2023,0,51950,Max McGreevy,37.96%,82,216
2023,0,50525,Collin Morikawa,37.96%,123,324
2023,0,31323,Gary Woodland,37.96%,123,324
2023,0,31577,Tano Goya,37.91%,116,306
2023,0,28775,Nate Lashley,37.88%,150,396
2023,0,46046,Scottie Scheffler,37.88%,150,396
2023,0,40006,Erik van Rooyen,37.61%,88,234
2023,0,58967,Trevor Werbylo,37.61%,88,234
2023,0,51414,Brent Grant,37.50%,81,216
2023,0,47988,Nick Hardy,37.50%,162,432
2023,0,47995,Davis Riley,37.43%,128,342
2023,0,55708,Hayden Buckley,37.41%,101,270
2023,0,56762,Will Gordon,37.37%,148,396
2023,0,56630,Akshay Bhatia,37.35%,121,324
2023,0,39975,Michael Kim,37.35%,121,324
2023,0,50095,Austin Smotherman,37.35%,121,324
2023,0,36724,Augusto Núñez,37.18%,87,234
2023,0,32791,K.H. Lee,37.12%,147,396
2023,0,52955,Ludvig Åberg,37.04%,80,216
2023,0,34255,Joseph Bramlett,37.04%,100,270
2023,0,47983,Chad Ramey,37.04%,120,324
2023,0,48887,Matt Wallace,37.04%,100,270
2023,0,36326,David Lipsky,36.94%,133,360
2023,0,52375,Doug Ghim,36.93%,113,306
2023,0,57362,Austin Eckroat,36.84%,126,342
2023,0,24925,Jonathan Byrd,36.81%,53,144
2023,0,27974,Sung Kang,36.81%,53,144
2023,0,51070,Vincent Norrman,36.81%,106,288
2023,0,34563,Chesson Hadley,36.73%,119,324
2023,0,46441,Robby Shelton,36.73%,119,324
2023,0,29289,S.Y. Noh,36.67%,99,270
2023,0,45609,Tyler Duncan,36.51%,92,252
2023,0,58696,Peter Kuest,36.42%,59,162
2023,0,39324,J.J. Spaun,36.36%,144,396
2023,0,32448,James Hahn,36.30%,98,270
2023,0,36871,Matt NeSmith,36.26%,124,342
2023,0,34431,Robert Streb,36.11%,65,180
2023,0,32640,Troy Merritt,35.93%,97,270
2023,0,45242,Kevin Yu,35.90%,84,234
2023,0,19803,Ryan Armour,35.71%,90,252
2023,0,39997,Corey Conners,35.67%,122,342
2023,0,48867,Matti Schmid,35.65%,77,216
2023,0,33122,Russell Knox,35.61%,141,396
2023,0,23320,Ryan Palmer,35.47%,83,234
2023,0,52411,Kyle Westmoreland,35.00%,63,180
2023,0,47347,Adam Schenk,34.95%,151,432
2023,0,28420,Ryan Brehm,34.85%,69,198
2023,0,39067,MJ Daffue,34.80%,119,342
2023,0,22056,Cameron Percy,34.72%,75,216
2023,0,29908,C.T. Pan,34.57%,56,162
2023,0,52453,Nicolai Hojgaard,34.44%,62,180
2023,0,53165,Doc Redman,34.44%,62,180
2023,0,52372,Cameron Champ,34.34%,68,198
2023,0,59018,Ryan Gerard,34.34%,68,198
2023,0,24502,Adam Scott,34.03%,98,288
2023,0,52513,Carson Young,33.99%,104,306
2023,0,39954,Cody Gribble,33.73%,85,252
2023,0,49453,Trevor Cone,33.33%,84,252
2023,0,25686,Jason Dufner,33.33%,84,252
2023,0,32662,Michael Gligic,33.33%,48,144
2023,0,27129,Luke List,32.50%,117,360
2023,0,20229,Stewart Cink,32.48%,76,234
2023,0,46601,Trey Mullinax,31.11%,56,180
2023,0,31557,Jim Herman,30.56%,66,216
2022,0,39058,Lucas Herbert,49.38,80,162
2022,0,36689,Brooks Koepka,47.92,69,144
2022,0,25686,Jason Dufner,47.78,43,90
2022,0,25198,Francesco Molinari,47.78,86,180
2022,0,47128,Richy Werenski,47.53,77,162
2022,0,30692,Scott Stallings,46.78,160,342
2022,0,30911,Tommy Fleetwood,46.58,109,234
2022,0,29221,Webb Simpson,46.46,92,198
2022,0,25818,Scott Piercy,46.43,117,252
2022,0,34466,Peter Malnati,46.3,175,378
2022,0,47856,Seth Reeves,46.11,83,180
2022,0,35506,Mackenzie Hughes,45.93,124,270
2022,0,47995,Davis Riley,45.91,157,342
2022,0,22056,Cameron Percy,45.83,66,144
2022,0,45522,Christiaan Bezuidenhout,45.68,148,324
2022,0,30927,Brendon Todd,45.68,148,324
2022,0,35450,Patrick Cantlay,45.49,131,288
2022,0,40098,Matt Fitzpatrick,45.14,130,288
2022,0,29926,Danny Lee,45.14,65,144
2022,0,57366,Cameron Young,45.1,138,306
2022,0,28089,Jason Day,44.95,89,198
2022,0,35891,Cameron Smith,44.84,113,252
2022,0,23108,Matt Kuchar,44.79,129,288
2022,0,39971,Sungjae Im,44.44,160,360
2022,0,28775,Nate Lashley,44.44,112,252
2022,0,27214,Kevin Streelman,44.44,144,324
2022,0,29725,Tony Finau,44.15,151,342
2022,0,51894,Vince Whaley,44.1,127,288
2022,0,48117,Kurt Kitayama,44.02,103,234
2022,0,19803,Ryan Armour,43.75,63,144
2022,0,29974,Branden Grace,43.75,63,144
2022,0,34360,Patrick Reed,43.7,118,270
2022,0,27895,Jonas Blixt,43.52,47,108
2022,0,35532,Tom Hoge,43.52,141,324
2022,0,24924,Bill Haas,43.46,133,306
2022,0,35617,Martin Trainer,43.43,86,198
2022,0,46601,Trey Mullinax,43.25,109,252
2022,0,50525,Collin Morikawa,43.16,101,234
2022,0,31560,Brian Stuard,43.16,101,234
2022,0,47988,Nick Hardy,42.93,85,198
2022,0,49947,Taylor Moore,42.71,123,288
2022,0,32791,K.H. Lee,42.59,161,378
2022,0,34256,Andrew Putnam,42.59,138,324
2022,0,51634,Sahith Theegala,42.52,199,468
2022,0,34563,Chesson Hadley,42.46,107,252
2022,0,34431,Robert Streb,42.46,107,252
2022,0,29970,Dylan Frittelli,42.4,145,342
2022,0,45157,Cam Davis,42.16,129,306
2022,0,30926,Chris Kirk,42.11,144,342
2022,0,39324,J.J. Spaun,42.11,144,342
2022,0,32640,Troy Merritt,42.06,159,378
2022,0,46414,Aaron Rai,41.98,136,324
2022,0,24925,Jonathan Byrd,41.92,83,198
2022,0,22405,Justin Rose,41.92,83,198
2022,0,23621,Rory Sabbatini,41.92,83,198
2022,0,34098,Russell Henley,41.67,135,324
2022,0,29478,Kevin Kisner,41.67,90,216
2022,0,35449,Adam Long,41.67,135,324
2022,0,32150,Michael Thompson,41.67,135,324
2022,0,21961,Charles Howell III,41.41,82,198
2022,0,46717,Viktor Hovland,41.32,119,288
2022,0,46435,Austin Cook,41.2,89,216
2022,0,48081,Xander Schauffele,41.18,126,306
2022,0,47993,Denny McCarthy,41.16,163,396
2022,0,40162,Justin Lower,41.11,111,270
2022,0,52374,Brandon Wu,41.03,96,234
2022,0,39977,Max Homa,40.94,140,342
2022,0,47529,Mito Pereira,40.94,140,342
2022,0,32139,Danny Willett,40.91,81,198
2022,0,32757,Patton Kizzire,40.85,125,306
2022,0,33419,Cameron Tringale,40.83,147,360
2022,0,31420,Anirban Lahiri,40.74,88,216
2022,0,26851,Marc Leishman,40.74,110,270
2022,0,33486,Roger Sloan,40.74,66,162
2022,0,27649,Brandt Snedeker,40.74,66,162
2022,0,48699,Callum Tarren,40.74,88,216
2022,0,45609,Tyler Duncan,40.63,117,288
2022,0,49766,Hank Lebioda,40.6,95,234
2022,0,46442,Maverick McNealy,40.56,146,360
2022,0,51890,Greyson Sigg,40.52,124,306
2022,0,36801,Mark Hubbard,40.48,102,252
2022,0,36799,Stephan Jaeger,40.48,102,252
2022,0,33667,Carlos Ortiz,40.4,80,198
2022,0,49298,Kramer Hickok,40.37,109,270
2022,0,46046,Scottie Scheffler,40.35,138,342
2022,0,33597,Harry Higgs,40.28,87,216
2022,0,45540,Jared Wolfe,40.28,58,144
2022,0,32839,Hideki Matsuyama,40.2,123,306
2022,0,34174,John Huh,40.08,101,252
2022,0,52372,Cameron Champ,40.0,72,180
2022,0,37455,Si Woo Kim,39.9,158,396
2022,0,45526,Abraham Ancer,39.81,86,216
2022,0,30944,Jason Kokrak,39.74,93,234
2022,0,36871,Matthew NeSmith,39.72,143,360
2022,0,48084,Wesley Bryan,39.58,57,144
2022,0,35310,Lanto Griffin,39.58,114,288
2022,0,36326,David Lipsky,39.58,114,288
2022,0,24138,Ian Poulter,39.58,57,144
2022,0,32816,Satoshi Kodaira,39.51,64,162
2022,0,45486,Joaquin Niemann,39.51,128,324
2022,0,51950,Max McGreevy,39.39,78,198
2022,0,27095,Nick Watney,39.39,78,198
2022,0,54783,Dylan Wu,39.39,78,198
2022,0,47983,Chad Ramey,39.35,85,216
2022,0,49771,J.T. Poston,39.26,106,270
2022,0,46402,Talor Gooch,39.24,113,288
2022,0,25493,Nick Taylor,39.24,113,288
2022,0,33448,Justin Thomas,39.2,127,324
2022,0,51766,Wyndham Clark,39.15,148,378
2022,0,32662,Michael Gligic,38.89,105,270
2022,0,33490,Bo Hoag,38.89,49,126
2022,0,27936,Martin Laird,38.89,91,234
2022,0,29518,Brendan Steele,38.89,105,270
2022,0,34264,Hudson Swafford,38.89,77,198
2022,0,37189,Harold Varner III,38.89,98,252
2022,0,39546,Keith Mitchell,38.6,132,342
2022,0,34610,Matthias Schwab,38.49,97,252
2022,0,29535,Brice Garnett,38.43,83,216
2022,0,32448,James Hahn,38.43,83,216
2022,0,36884,Ben Kohles,38.33,69,180
2022,0,49960,Sepp Straka,38.27,124,324
2022,0,28114,Dawie van der Walt,38.27,62,162
2022,0,24980,Scott Gutschewski,38.19,55,144
2022,0,31646,Emiliano Grillo,38.15,103,270
2022,0,47347,Adam Schenk,38.15,103,270
2022,0,53165,Doc Redman,38.1,96,252
2022,0,35461,Beau Hossler,38.03,89,234
2022,0,34363,Tyrrell Hatton,37.78,102,270
2022,0,27349,Alex Noren,37.7,95,252
2022,0,36852,Jim Knous,37.65,61,162
2022,0,46340,Alex Smalley,37.65,122,324
2022,0,10381,Curtis Thompson,37.65,61,162
2022,0,56278,Matthew Wolff,37.65,61,162
2022,0,33204,Shane Lowry,37.61,88,234
2022,0,47504,Sam Burns,37.58,115,306
2022,0,23983,Luke Donald,37.5,81,216
2022,0,27974,Sung Kang,37.5,81,216
2022,0,29289,S.Y. Noh,37.5,81,216
2022,0,34046,Jordan Spieth,37.5,108,288
2022,0,48887,Matt Wallace,37.5,54,144
2022,0,51997,Andrew Novak,37.3,94,252
2022,0,30978,Kiradech Aphibarnrat,37.22,67,180
2022,0,39997,Corey Conners,37.22,134,360
2022,0,25900,Lucas Glover,37.22,134,360
2022,0,40115,Adam Svensson,37.22,134,360
2022,0,40250,Taylor Pendrith,37.15,107,288
2022,0,49964,Aaron Wise,37.13,127,342
2022,0,33122,Russell Knox,37.04,120,324
2022,0,33141,Keegan Bradley,36.93,113,306
2022,0,55708,Hayden Buckley,36.93,113,306
2022,0,40006,Erik van Rooyen,36.81,53,144
2022,0,29908,C.T. Pan,36.73,119,324
2022,0,32366,Kevin Chappell,36.67,66,180
2022,0,52375,Doug Ghim,36.67,99,270
2022,0,24024,Zach Johnson,36.67,66,180
2022,0,23325,Vaughn Taylor,36.67,66,180
2022,0,24502,Adam Scott,36.6,112,306
2022,0,46550,Brandon Hagy,36.57,79,216
2022,0,32333,Kevin Tway,36.57,79,216
2022,0,31323,Gary Woodland,36.57,79,216
2022,0,47483,Will Zalatoris,36.46,105,288
2022,0,33399,Adam Hadwin,36.39,131,360
2022,0,27770,Camilo Villegas,36.36,72,198
2022,0,29420,Billy Horschel,36.3,98,270
2022,0,27129,Luke List,36.11,91,252
2022,0,48822,Sebastián Muñoz,36.11,117,324
2022,0,27139,David Skinns,36.11,78,216
2022,0,28252,Seamus Power,35.93,97,270
2022,0,24361,Pat Perez,35.9,84,234
2022,0,27064,Jhonattan Vegas,35.62,109,306
2022,0,39436,Joshua Creel,35.56,32,90
2022,0,27644,Brian Harman,35.56,128,360
2022,0,34076,Joel Dahmen,35.49,115,324
2022,0,26476,Chez Reavie,35.49,115,324
2022,0,54421,Garrick Higgo,35.42,51,144
2022,0,20229,Stewart Cink,35.32,89,252
