YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
2024,61,0,46442,Maverick McNealy,7.38%,808,10950,0,4.0
2024,63,0,57364,Michael Thorbjornsen,7.02%,232,3300,0,1.0
2024,64,0,34046,Jordan Spieth,6.54%,782,11950,0,3.0
2024,65,0,36801,Mark Hubbard,6.38%,737,11550,0,2.0
2024,66,0,47591,Eric Cole,6.34%,948,14950,0,4.0
2024,67,0,28252,Seamus Power,6.28%,703,11200,0,0.0
2024,68,0,49947,Taylor Moore,6.20%,803,12950,0,2.0
2024,68,0,47679,Victor Perez,6.20%,654,10550,0,3.0
2024,70,0,59866,Nick Dunlap,6.09%,701,11500,2,3.0
2024,71,0,54591,Ben Griffin,6.00%,867,14450,0,4.0
2024,72,0,34466,Peter Malnati,5.97%,794,13300,1,2.0
2024,73,0,30927,Brendon Todd,5.90%,720,12200,0,2.0
2024,74,0,47995,Davis Riley,5.81%,647,11150,1,1.0
2024,75,0,31646,Emiliano Grillo,5.73%,684,11950,0,2.0
2024,76,0,12716,Charley Hoffman,5.61%,550,9800,0,3.0
2024,77,0,27129,Luke List,5.49%,601,10950,0,1.0
2024,78,0,34256,Andrew Putnam,5.43%,625,11500,0,2.0
2024,79,0,52453,Nicolai Højgaard,5.34%,532,9950,0,1.0
2024,80,0,29908,C.T. Pan,5.32%,455,8550,0,2.0
2024,81,0,48117,Kurt Kitayama,5.26%,603,11450,0,2.0
2024,82,0,39546,Keith Mitchell,5.21%,599,11500,0,3.0
2024,83,0,51997,Andrew Novak,5.16%,518,10050,0,4.0
2024,84,0,57975,Harry Hall,5.10%,517,10150,1,1.0
2024,85,0,25900,Lucas Glover,4.99%,596,11950,0,0.0
2024,86,0,59143,Mac Meissner,4.87%,475,9750,0,3.0
2024,87,0,52666,Sami Valimaki,4.62%,418,9050,0,1.0
2024,88,0,54628,Lee Hodges,4.60%,596,12950,0,0.0
2024,89,0,36884,Ben Kohles,4.59%,531,11550,0,2.0
2024,90,0,40115,Adam Svensson,4.53%,601,13250,0,2.0
2024,91,0,54576,Patrick Fishburn,4.51%,384,8500,0,3.0
2024,92,0,51287,Ryo Hisatsune,4.50%,522,11600,0,1.0
2024,93,0,32333,Kevin Tway,4.45%,285,6400,0,2.0
2024,94,0,35461,Beau Hossler,4.44%,521,11750,0,2.0
2024,95,0,34587,Chan Kim,4.41%,452,10250,0,3.0
2024,96,0,57900,Chandler Phillips,4.36%,427,9800,0,2.0
2024,97,0,52375,Doug Ghim,4.26%,460,10800,0,1.0
2024,97,0,30163,Henrik Norlander,4.26%,256,6000,0,0.0
2024,99,0,45242,Kevin Yu,4.24%,469,11050,0,4.0
2024,100,0,47347,Adam Schenk,4.18%,583,13950,0,1.0
2024,101,0,40162,Justin Lower,4.15%,461,11100,0,2.0
2024,102,0,59095,Chris Gotterup,4.09%,452,11050,1,1.0
2024,103,0,28775,Nate Lashley,4.07%,393,9650,0,1.0
2024,104,0,51696,Rico Hoey,4.03%,393,9750,0,3.0
2024,105,0,55789,Taylor Montgomery,3.99%,325,8150,0,0.0
2024,106,0,55893,Sam Stevens,3.98%,436,10950,0,3.0
2024,107,0,39324,J.J. Spaun,3.97%,419,10550,0,3.0
2024,108,0,27139,David Skinns,3.90%,376,9650,0,2.0
2024,109,0,29289,S.Y. Noh,3.89%,105,2700,0,1.0
2024,110,0,32791,K.H. Lee,3.70%,411,11100,0,3.0
2024,111,0,39327,Ben Silverman,3.64%,373,10250,0,0.0
2024,112,0,51349,Nico Echavarria,3.53%,367,10400,0,1.0
2024,112,0,48887,Matt Wallace,3.53%,354,10050,0,1.0
2024,114,0,47983,Chad Ramey,3.51%,367,10450,0,1.0
2024,115,0,51894,Vince Whaley,3.48%,285,8200,0,1.0
2024,116,0,48084,Wesley Bryan,3.43%,172,5000,0,1.0
2024,117,0,60004,Jacob Bridgeman,3.42%,308,9000,0,0.0
2024,118,0,29936,Ryan Fox,3.41%,377,11050,0,3.0
2024,119,0,23108,Matt Kuchar,3.38%,382,11300,0,1.0
2024,120,0,59836,Pierceson Coody,3.35%,308,9200,0,2.0
2024,121,0,50484,Hayden Springer,3.33%,283,8500,0,3.0
2024,122,0,52513,Carson Young,3.31%,346,10450,0,2.0
2024,123,0,32102,Rickie Fowler,3.26%,374,11450,0,0.0
2024,124,0,40058,Zac Blair,3.17%,344,10850,0,2.0
2024,125,0,35617,Martin Trainer,3.15%,220,7000,0,1.0
2024,126,0,34076,Joel Dahmen,3.12%,320,10250,0,1.0
2024,127,0,54783,Dylan Wu,3.08%,313,10150,0,1.0
2024,128,0,39975,Michael Kim,3.02%,325,10750,0,1.0
2024,128,0,32757,Patton Kizzire,3.02%,241,8000,0,2.0
2024,130,0,51600,Jimmy Stanger,2.98%,213,7150,0,1.0
2024,131,0,34374,Erik Barnes,2.95%,248,8400,0,1.0
2024,132,0,52514,Trace Crowe,2.94%,235,8000,0,1.0
2024,133,0,32367,Jorge Campillo,2.88%,235,8150,0,1.0
2024,134,0,36871,Matt NeSmith,2.81%,293,10450,0,2.0
2024,135,0,35879,Kelly Kraft,2.77%,116,4200,0,0.0
2024,136,0,55454,Carl Yuan,2.74%,273,9950,0,2.0
2024,137,0,48867,Matti Schmid,2.71%,283,10450,0,1.0
2024,138,0,50188,S.H. Kim,2.67%,346,12950,0,1.0
2024,139,0,38991,Alejandro Tosti,2.63%,267,10150,0,1.0
2024,140,0,37275,Sam Ryder,2.60%,282,10850,0,0.0
2024,141,0,33413,Ben Martin,2.55%,183,7150,0,1.0
2024,142,0,29221,Webb Simpson,2.51%,183,7300,0,0.0
2024,143,0,40026,Daniel Berger,2.38%,221,9250,0,0.0
2024,143,0,24024,Zach Johnson,2.38%,202,8500,0,0.0
2024,145,0,32070,Rafael Campos,2.35%,188,8000,0,1.0
2024,146,0,20766,Padraig Harrington,2.29%,91,4000,0,0.0
2024,147,0,51890,Greyson Sigg,2.27%,254,11200,0,2.0
2024,148,0,24140,Sean O'Hair,2.22%,78,3500,0,0.0
2024,149,0,46340,Alex Smalley,2.21%,257,11600,0,1.0
2024,150,0,34563,Chesson Hadley,2.18%,227,10400,0,2.0
2024,151,0,27936,Martin Laird,2.15%,196,9150,0,2.0
2024,152,0,46441,Robby Shelton,2.14%,207,9650,0,1.0
2024,153,0,55708,Hayden Buckley,2.11%,224,10650,0,2.0
2024,154,0,32366,Kevin Chappell,2.10%,126,6000,0,0.0
2024,155,0,26596,Ryan Moore,2.08%,201,9650,0,1.0
2024,155,0,30692,Scott Stallings,2.08%,99,4750,0,0.0
2024,157,0,22371,Aaron Baddeley,2.07%,175,8450,0,0.0
2024,157,0,32640,Troy Merritt,2.07%,213,10250,0,1.0
2024,159,0,33968,Thorbjørn Olesen,1.99%,170,8550,0,0.0
2024,160,0,6373,José María Olazábal,1.96%,15,750,0,0.0
2024,160,0,32139,Danny Willett,1.96%,15,750,0,0.0
2024,162,0,34255,Joseph Bramlett,1.88%,187,9950,0,0.0
2024,163,0,54421,Garrick Higgo,1.81%,186,10250,0,1.0
2024,164,0,60067,Joe Highsmith,1.75%,157,9000,0,1.0
2024,165,0,34310,Alexander Björk,1.73%,126,7300,0,0.0
2024,165,0,29268,Bronson Burgoon,1.73%,69,4000,0,0.0
2024,167,0,28420,Ryan Brehm,1.71%,162,9500,0,1.0
2024,167,0,31202,William McGirt,1.71%,29,1700,0,0.0
2024,169,0,46435,Austin Cook,1.67%,84,5000,0,1.0
2024,170,0,35310,Lanto Griffin,1.62%,117,7200,0,1.0
2024,170,0,26476,Chez Reavie,1.62%,161,9950,0,1.0
2024,170,0,52374,Brandon Wu,1.62%,181,11200,0,1.0
2024,173,0,59442,Parker Coody,1.59%,151,9500,0,1.0
2024,174,0,52372,Cameron Champ,1.57%,140,8900,0,0.0
2024,175,0,20229,Stewart Cink,1.56%,113,7250,0,0.0
2024,175,0,46113,Ryan McCormick,1.56%,124,8000,0,1.0
2024,177,0,39954,Cody Gribble,1.49%,48,3200,0,0.0
2024,178,0,50095,Austin Smotherman,1.48%,62,4200,0,0.0
2024,179,0,25818,Scott Piercy,1.47%,59,4000,0,0.0
2024,180,0,50493,Justin Suh,1.46%,149,10250,0,0.0
2024,181,0,50497,Adrien Dumont de Chassart,1.41%,130,9200,0,1.0
2024,181,0,31323,Gary Woodland,1.41%,174,12350,0,0.0
2024,183,0,47988,Nick Hardy,1.40%,148,10550,0,0.0
2024,184,0,33486,Roger Sloan,1.36%,109,8000,0,0.0
2024,185,0,34021,Bud Cauley,1.30%,76,5800,0,0.0
2024,186,0,36326,David Lipsky,1.26%,132,10450,0,1.0
2024,187,0,45609,Tyler Duncan,1.24%,111,8950,0,0.0
2024,188,0,39067,MJ Daffue,1.20%,32,2700,0,0.0
2024,189,0,6567,Vijay Singh,1.17%,9,750,0,0.0
2024,190,0,33408,Tyson Alexander,1.15%,121,10450,0,0.0
2024,191,0,27214,Kevin Streelman,1.09%,94,8650,0,0.0
2024,192,0,47128,Richy Werenski,1.06%,31,2900,0,0.0
2024,193,0,37212,Paul Barjon,1.02%,92,9000,0,1.0
2024,193,0,30750,Tommy Gainey,1.02%,12,1200,0,0.0
2024,195,0,54328,Norman Xiong,1.00%,53,5300,0,1.0
2024,196,0,33122,Russell Knox,.93%,25,2700,0,0.0
2024,197,0,48319,Tom Whitney,.91%,82,9000,0,0.0
2024,198,0,24924,Bill Haas,.90%,36,4000,0,0.0
2024,199,0,47663,Kevin Dougherty,.85%,72,8500,0,0.0
2024,199,0,48699,Callum Tarren,.85%,89,10450,0,0.0
2024,201,0,32448,James Hahn,.83%,35,4200,0,0.0
2024,201,0,27095,Nick Watney,.83%,33,4000,0,0.0
2024,203,0,23320,Ryan Palmer,.78%,54,6900,0,0.0
2024,203,0,48119,Ben Taylor,.78%,79,10150,0,1.0
2024,205,0,37338,Zecheng Dou,.72%,23,3200,0,0.0
2024,206,0,20472,Alex Cejka,.66%,5,750,0,0.0
2024,206,0,19825,Darren Clarke,.66%,5,750,0,0.0
2024,206,0,47079,Harrison Endycott,.66%,45,6700,0,0.0
2024,209,0,26758,David Hearn,.64%,3,500,0,0.0
2024,210,0,27963,Chris Stroud,.60%,2,300,0,0.0
2024,211,0,34431,Robert Streb,.57%,12,2100,0,0.0
2024,212,0,27770,Camilo Villegas,.49%,45,9150,0,0.0
2024,213,0,56762,Will Gordon,.48%,20,4100,0,0.0
2024,214,0,56149,Wilson Furr,.46%,37,8000,0,0.0
2024,215,0,30110,Kyle Stanley,.45%,3,600,0,0.0
2024,216,0,51070,Vincent Norrman,.44%,43,9750,0,0.0
2024,217,0,33597,Harry Higgs,.43%,11,2650,0,0.0
2024,217,0,29478,Kevin Kisner,.43%,37,8600,0,0.0
2024,219,0,27974,Sung Kang,.41%,12,2950,0,0.0
2024,220,0,25198,Francesco Molinari,.40%,27,6800,0,0.0
2024,221,0,33674,Adrian Meronk,.38%,11,3000,0,0.0
2024,222,0,19803,Ryan Armour,.35%,2,600,0,0.0
2024,223,0,37278,Nicholas Lindheim,.34%,19,5600,0,0.0
2024,224,0,29970,Dylan Frittelli,.33%,6,1800,0,0.0
2024,224,0,31560,Brian Stuard,.33%,2,600,0,0.0
2024,226,0,24925,Jonathan Byrd,.29%,5,1700,0,0.0
2024,227,0,31557,Jim Herman,.22%,5,2150,0,0.0
2024,227,0,8793,Tiger Woods,.22%,8,3700,0,0.0
2024,229,0,60767,Blaine Hale Jr.,.21%,16,7500,0,0.0
2024,230,0,35901,Paul Haley II,.20%,3,1600,0,0.0
2024,230,0,35449,Adam Long,.20%,10,5200,0,0.0
2024,232,0,28259,Sangmoon Bae,.19%,3,1400,0,0.0
2024,232,0,27649,Brandt Snedeker,.19%,20,10400,0,0.0
2024,234,0,23983,Luke Donald,.18%,6,3250,0,0.0
2024,235,0,24980,Scott Gutschewski,.16%,12,7500,0,0.0
2024,236,0,49303,Anders Albertson,.15%,3,1800,0,0.0
2024,237,0,25632,Jimmy Walker,.13%,5,3550,0,0.0
2024,238,0,47806,Raul Pereda,.12%,9,8000,0,0.0
2024,239,0,27330,Josh Teater,.08%,7,8500,0,0.0
2023,1,0,46970,Jon Rahm,35.89%,3320,9250,4,10.0
2023,2,0,46046,Scottie Scheffler,29.26%,3146,10750,2,15.0
2023,3,0,28237,Rory McIlroy,28.10%,2304,8200,2,10.0
2023,4,0,39977,Max Homa,19.00%,2128,11200,2,9.0
2023,5,0,46717,Viktor Hovland,16.70%,1795,10750,1,7.0
2023,6,0,33141,Keegan Bradley,16.50%,1774,10750,2,5.0
2023,7,0,51766,Wyndham Clark,15.13%,1944,12850,2,7.0
2023,8,0,32102,Rickie Fowler,14.93%,1732,11600,1,8.0
2023,9,0,35450,Patrick Cantlay,14.80%,1443,9750,0,8.0
2023,10,0,29725,Tony Finau,14.78%,1655,11200,2,5.0
2023,11,0,27644,Brian Harman,14.33%,1827,12750,1,6.0
2023,12,0,34363,Tyrrell Hatton,14.24%,1381,9700,0,7.0
2023,13,0,48081,Xander Schauffele,13.72%,1406,10250,0,9.0
2023,14,0,28089,Jason Day,13.44%,1506,11200,1,8.0
2023,15,0,30911,Tommy Fleetwood,12.27%,1184,9650,0,7.0
2023,16,0,55182,Tom Kim,11.61%,1422,12250,1,7.0
2023,17,0,34098,Russell Henley,11.52%,1296,11250,1,3.0
2023,18,0,22405,Justin Rose,11.33%,1088,9600,1,5.0
2023,19,0,25493,Nick Taylor,11.21%,1463,13050,1,6.0
2023,20,0,50525,Collin Morikawa,11.08%,1246,11250,0,5.0
2023,21,0,47504,Sam Burns,10.90%,1335,12250,1,5.0
2023,22,0,34046,Jordan Spieth,10.73%,1099,10250,0,6.0
2023,23,0,49960,Sepp Straka,10.66%,1413,13250,1,5.0
2023,24,0,37455,Si Woo Kim,10.39%,1372,13200,1,5.0
2023,24,0,48117,Kurt Kitayama,10.39%,1216,11700,1,4.0
2023,26,0,39997,Corey Conners,9.81%,1103,11250,1,3.0
2023,27,0,40098,Matt Fitzpatrick,9.76%,1049,10750,1,4.0
2023,28,0,31646,Emiliano Grillo,9.55%,1275,13350,1,7.0
2023,29,0,28252,Seamus Power,8.89%,1133,12750,1,3.0
2023,30,0,30926,Chris Kirk,8.83%,1161,13150,1,4.0
2023,31,0,49947,Taylor Moore,8.46%,1193,14100,1,3.0
2023,32,0,47993,Denny McCarthy,8.39%,1179,14050,0,6.0
2023,33,0,57366,Cameron Young,8.27%,889,10750,0,5.0
2023,34,0,47347,Adam Schenk,7.80%,1213,15550,0,5.0
2023,35,0,51634,Sahith Theegala,7.75%,1065,13750,0,7.0
2023,36,0,39971,Sungjae Im,7.70%,1098,14250,0,7.0
2023,37,0,52453,Nicolai Hojgaard,7.24%,438,6050,0,2.0
2023,37,0,30927,Brendon Todd,7.24%,973,13450,0,6.0
2023,39,0,47529,Mito Pereira,7.14%,236,3300,0,1.0
2023,40,0,25900,Lucas Glover,7.05%,885,12550,1,4.0
2023,41,0,33948,Byeong Hun An,7.04%,1041,14800,0,4.0
2023,41,0,35506,Mackenzie Hughes,7.04%,890,12650,1,2.0
2023,43,0,33399,Adam Hadwin,6.99%,908,13000,0,5.0
2023,44,0,33653,Thomas Detry,6.95%,851,12250,0,3.0
2023,45,0,40115,Adam Svensson,6.92%,1014,14650,1,3.0
2023,46,0,54628,Lee Hodges,6.81%,1052,15450,1,3.0
2023,47,0,55708,Hayden Buckley,6.58%,754,11450,0,4.0
2023,48,0,24502,Adam Scott,6.45%,597,9250,0,4.0
2023,49,0,34099,Harris English,6.44%,914,14200,0,4.0
2023,50,0,49771,J.T. Poston,6.39%,907,14200,0,7.0
2023,51,0,34256,Andrew Putnam,6.29%,918,14600,0,4.0
2023,52,0,47591,Eric Cole,6.17%,950,15400,0,3.0
2023,53,0,55789,Taylor Montgomery,6.09%,823,13500,0,4.0
2023,54,0,35532,Tom Hoge,6.08%,897,14750,0,4.0
2023,55,0,36699,Patrick Rodgers,6.07%,914,15050,0,5.0
2023,56,0,32839,Hideki Matsuyama,6.05%,742,12250,0,2.0
2023,57,0,46340,Alex Smalley,6.02%,864,14350,0,4.0
2023,58,0,47988,Nick Hardy,5.96%,868,14550,1,2.0
2023,59,0,58696,Peter Kuest,5.90%,242,4100,0,1.0
2023,60,0,23108,Matt Kuchar,5.82%,695,11950,0,4.0
2023,61,0,33204,Shane Lowry,5.80%,563,9700,0,1.0
2023,62,0,33448,Justin Thomas,5.68%,608,10700,0,3.0
2023,63,0,37378,Min Woo Lee,5.62%,399,7100,0,3.0
2023,64,0,52955,Ludvig Åberg,5.58%,254,4550,0,1.0
2023,65,0,45242,Kevin Yu,5.56%,445,8000,0,3.0
2023,66,0,47483,Will Zalatoris,5.54%,244,4400,0,1.0
2023,67,0,45157,Cam Davis,5.48%,685,12500,0,5.0
2023,68,0,39546,Keith Mitchell,5.41%,698,12900,0,5.0
2023,69,0,51070,Vincent Norrman,5.17%,636,12300,1,3.0
2023,70,0,52374,Brandon Wu,5.16%,763,14800,0,3.0
2023,71,0,47995,Davis Riley,5.13%,768,14950,1,2.0
2023,72,0,56630,Akshay Bhatia,4.97%,435,8750,1,4.0
2023,73,0,36799,Stephan Jaeger,4.90%,692,14100,0,2.0
2023,74,0,39324,J.J. Spaun,4.78%,634,13250,0,3.0
2023,75,0,29908,C.T. Pan,4.74%,308,6500,0,2.0
2023,75,0,55893,Sam Stevens,4.74%,670,14150,0,3.0
2023,77,0,37275,Sam Ryder,4.71%,675,14350,0,4.0
2023,78,0,36871,Matt NeSmith,4.70%,642,13650,0,4.0
2023,79,0,35461,Beau Hossler,4.65%,658,14150,0,3.0
2023,80,0,58168,Davis Thompson,4.59%,596,13000,0,2.0
2023,81,0,46414,Aaron Rai,4.54%,670,14750,0,3.0
2023,82,0,36801,Mark Hubbard,4.53%,697,15400,0,5.0
2023,83,0,57362,Austin Eckroat,4.48%,594,13250,0,3.0
2023,84,0,32139,Danny Willett,4.42%,511,11550,0,1.0
2023,85,0,29936,Ryan Fox,4.26%,304,7150,0,0.0
2023,86,0,46442,Maverick McNealy,4.25%,414,9750,0,3.0
2023,87,0,40058,Zac Blair,4.23%,465,11000,0,2.0
2023,88,0,48887,Matt Wallace,4.15%,548,13200,1,2.0
2023,89,0,29420,Billy Horschel,4.13%,485,11750,0,3.0
2023,90,0,59018,Ryan Gerard,4.12%,322,7800,0,2.0
2023,91,0,22371,Aaron Baddeley,4.07%,458,11250,0,3.0
2023,92,0,48119,Ben Taylor,4.01%,592,14750,0,4.0
2023,93,0,54591,Ben Griffin,3.99%,617,15450,0,1.0
2023,93,0,54421,Garrick Higgo,3.99%,586,14700,0,1.0
2023,95,0,32791,K.H. Lee,3.98%,567,14250,0,3.0
2023,96,0,39975,Michael Kim,3.93%,563,14300,0,4.0
2023,97,0,34409,David Lingmerth,3.90%,561,14400,0,5.0
2023,98,0,34076,Joel Dahmen,3.83%,519,13550,0,4.0
2023,99,0,54783,Dylan Wu,3.82%,509,13300,0,2.0
2023,100,0,51997,Andrew Novak,3.76%,424,11300,0,2.0
2023,101,0,57975,Harry Hall,3.72%,499,13400,0,3.0
2023,102,0,34255,Joseph Bramlett,3.70%,489,13200,0,3.0
2023,102,0,27214,Kevin Streelman,3.70%,505,13650,0,2.0
2023,104,0,31323,Gary Woodland,3.67%,465,12650,0,2.0
2023,105,0,49964,Aaron Wise,3.64%,289,7950,0,1.0
2023,106,0,27349,Alex Noren,3.58%,437,12200,0,2.0
2023,106,0,50493,Justin Suh,3.58%,548,15300,0,2.0
2023,108,0,28775,Nate Lashley,3.51%,455,12950,0,2.0
2023,109,0,20766,Padraig Harrington,3.47%,133,3850,0,1.0
2023,110,0,50188,S.H. Kim,3.40%,546,16050,0,1.0
2023,111,0,34213,Grayson Murray,3.30%,172,5200,0,2.0
2023,112,0,26476,Chez Reavie,3.27%,464,14200,0,2.0
2023,113,0,51349,Nico Echavarria,3.22%,417,12950,1,1.0
2023,114,0,48699,Callum Tarren,3.20%,474,14800,0,1.0
2023,115,0,46441,Robby Shelton,3.18%,467,14700,0,2.0
2023,116,0,33408,Tyson Alexander,3.14%,425,13550,0,1.0
2023,117,0,45522,Christiaan Bezuidenhout,3.12%,405,13000,0,0.0
2023,117,0,27936,Martin Laird,3.12%,391,12500,0,1.0
2023,119,0,36326,David Lipsky,3.09%,450,14550,0,2.0
2023,120,0,27064,Jhonattan Vegas,3.07%,112,3650,0,0.0
2023,121,0,29221,Webb Simpson,3.05%,252,8250,0,2.0
2023,122,0,56762,Will Gordon,2.99%,440,14700,0,1.0
2023,123,0,40162,Justin Lower,2.93%,430,14650,0,3.0
2023,124,0,51890,Greyson Sigg,2.89%,420,14500,0,1.0
2023,125,0,40250,Taylor Pendrith,2.85%,379,13300,0,2.0
2023,126,0,45609,Tyler Duncan,2.83%,403,14250,0,2.0
2023,127,0,33413,Ben Martin,2.78%,387,13900,0,3.0
2023,128,0,52375,Doug Ghim,2.77%,345,12450,0,0.0
2023,129,0,52513,Carson Young,2.74%,397,14500,0,1.0
2023,130,0,29518,Brendan Steele,2.61%,133,5100,0,0.0
2023,131,0,39954,Cody Gribble,2.55%,209,8200,0,2.0
2023,132,0,34466,Peter Malnati,2.47%,354,14350,0,2.0
2023,133,0,39058,Lucas Herbert,2.45%,199,8100,0,1.0
2023,134,0,39067,MJ Daffue,2.40%,330,13750,0,0.0
2023,134,0,24140,Sean O'Hair,2.40%,185,7700,0,1.0
2023,136,0,22056,Cameron Percy,2.37%,199,8400,0,0.0
2023,137,0,33597,Harry Higgs,2.34%,274,11700,0,1.0
2023,138,0,25632,Jimmy Walker,2.33%,294,12600,0,0.0
2023,139,0,37338,Zecheng Dou,2.32%,299,12900,0,1.0
2023,140,0,27129,Luke List,2.31%,309,13400,0,0.0
2023,140,0,47983,Chad Ramey,2.31%,362,15650,0,1.0
2023,140,0,40006,Erik van Rooyen,2.31%,275,11900,0,3.0
2023,143,0,34563,Chesson Hadley,2.29%,304,13250,0,1.0
2023,144,0,32757,Patton Kizzire,2.24%,303,13500,0,2.0
2023,145,0,46601,Trey Mullinax,2.16%,291,13500,0,2.0
2023,146,0,47079,Harrison Endycott,2.13%,282,13200,0,1.0
2023,146,0,30692,Scott Stallings,2.13%,282,13250,0,0.0
2023,148,0,29289,S.Y. Noh,2.11%,184,8700,0,0.0
2023,149,0,50095,Austin Smotherman,2.06%,293,14250,0,1.0
2023,150,0,29926,Danny Lee,2.02%,112,5550,0,0.0
2023,151,0,34374,Erik Barnes,2.01%,149,7400,0,1.0
2023,151,0,12716,Charley Hoffman,2.01%,246,12250,0,0.0
2023,153,0,25818,Scott Piercy,1.95%,280,14350,0,0.0
2023,154,0,32640,Troy Merritt,1.94%,273,14050,0,1.0
2023,155,0,27895,Jonas Blixt,1.93%,91,4700,0,0.0
2023,156,0,37278,Nicholas Lindheim,1.92%,29,1500,0,0.0
2023,157,0,52372,Cameron Champ,1.91%,219,11450,0,2.0
2023,158,0,27963,Chris Stroud,1.89%,155,8200,0,1.0
2023,159,0,35901,Paul Haley II,1.88%,259,13800,0,1.0
2023,159,0,24024,Zach Johnson,1.88%,196,10400,0,0.0
2023,159,0,30163,Henrik Norlander,1.88%,229,12200,0,0.0
2023,162,0,48867,Matti Schmid,1.84%,206,11200,0,1.0
